순위,,직업,인원수,,,,
1,,듀얼블레이더,2053,,,듀얼블레이더,1902
2,,아델,1475,,,아델,1260
3,,비숍,1305,,,비숍,1198
4,+1,나이트로드,1238,,,"아크메이지(불,독)",1134
5,-1,"아크메이지(불,독)",1141,,,나이트로드,1126
6,,패스파인더,946,,,패스파인더,857
7,,"아크메이지(썬,콜)",938,,,"아크메이지(썬,콜)",815
8,,섀도어,882,,,섀도어,812
9,+2,아크,823,,,은월,759
10,-1,은월,821,,,엔젤릭버스터,755
11,-1,엔젤릭버스터,804,,,아크,753
12,,팬텀,676,,,팬텀,634
13,,캐논마스터,643,,,캐논마스터,606
14,+1,제로,626,,,히어로,579
15,-1,히어로,618,,,제로,576
16,,윈드브레이커,595,,,윈드브레이커,557
17,,아란,484,,,아란,461
18,,에반,456,,,에반,419
19,+1,메르세데스,391,,,바이퍼,378
20,+1,데몬어벤져,386,,,메르세데스,368
21,-2,바이퍼,386,,,데몬어벤져,357
22,+1,루미너스,349,,,제논,307
23,+3,팔라딘,329,,,루미너스,307
24,,다크나이트,328,,,다크나이트,307
25,+2,소울마스터,327,,,키네시스,304
26,-1,키네시스,325,,,팔라딘,304
27,-5,제논,324,,,소울마스터,301
28,,플레임위자드,311,,,플레임위자드,291
29,+2,호영,303,,,카데나,264
30,,데몬슬레이어,287,,,데몬슬레이어,261
31,-2,카데나,283,,,호영,244
32,,카이저,257,,,카이저,241
33,,보우마스터,219,,,보우마스터,214
34,,메카닉,184,,,메카닉,166
35,,나이트워커,162,,,나이트워커,145
36,,와일드헌터,140,,,와일드헌터,133
37,,배틀메이지,127,,,배틀메이지,116
38,,스트라이커,120,,,스트라이커,116
39,,신궁,119,,,신궁,109
40,,캡틴,115,,,캡틴,108
41,,블래스터,106,,,블래스터,98
42,,일리움,81,,,일리움,73
43,,미하일,61,,,미하일,54
44,,카인,52,,,카인,36
합계,,,22596,,,,20805
지난 데이터(21.6.11),,,20805,,,,
증가량,,,1791,,,,
https://github.com/invscks/maplestory_ranking,,,,,,,
